,subject,auditory,lessonType,lessonTime,subjectFullName,weekday
0,ВМиКА,423-4 к.,ЛК,15:50-17:10,Вычислительные методы и компьютерная алгебра,Понедельник
1,АиПРП,423-4 к.,ЛК,17:25-18:45,Администрирование и программирование распределенных приложений,Понедельник
2,АиПРП,423-4 к.,ЛР,19:00-20:20,Администрирование и программирование распределенных приложений,Понедельник
3,ММИПиУ,601а-5 к.,ЛК,14:00-15:20,Математические модели информационных процессов и управления,Вторник
4,БиБД,601а-5 к.,ЛР,15:50-17:10,Базы и банки данных,Вторник
5,БиБД,423-4 к.,ЛК,17:25-18:45,Базы и банки данных,Вторник
9,ОЗИ,302-3 к.,ЛК,10:35-11:55,Основы защиты информации,Среда
12,БиБД,423-4 к.,ЛК,12:25-13:45,Базы и банки данных,Среда
14,БиБД,423-4 к.,ПЗ,14:00-15:20,Базы и банки данных,Среда
16,СПО,423-4 к.,ЛР,15:50-17:10,Системное программное обеспечение,Среда
17,СПО,423-4 к.,ЛК,14:00-15:20,Системное программное обеспечение,Четверг
18,ИМС,209-5 к.,ЛК,15:50-17:10,Имитационное моделирование систем,Четверг
21,СПО,423-4 к.,ЛК,12:25-13:45,Системное программное обеспечение,Пятница
23,СПО,423-4 к.,ЛР,14:00-15:20,Системное программное обеспечение,Пятница
24,ММИПиУ,423-4 к.,ПЗ,15:50-17:10,Математические модели информационных процессов и управления,Пятница
25,СПО,423-4 к.,ЛК,09:00-10:20,Системное программное обеспечение,Суббота
26,СПО,423-4 к.,ЛК,10:35-11:55,Системное программное обеспечение,Суббота
